nro_entrada;categoria;nro_descritor;antecessor;descritor;sucessor
E_0001;2-Método;2;;evaluation;studies
E_0002;2-Método;2;;evaluation;theory
E_0003;2-Método;2;;evaluation;theory.
E_0004;2-Método;2;;evaluation;time
E_0005;2-Método;2;;evaluation;methodology
E_0006;2-Método;2;;evaluation;dataset
E_0007;2-Método;2;demographic;evaluation;
E_0008;2-Método;2;for the;evaluation;of
E_0009;2-Método;2;;evaluation;instruments
E_0010;2-Método;2;;evaluation;tool
E_0011;2-Método;2;our;evaluation;
E_0012;2-Método;2;summative;evaluation;
E_0013;2-Método;2;statistical;evaluation;
E_0014;2-Método;2;;evaluation;methods
E_0015;2-Método;2;this;evaluation;supports
E_0016;2-Método;2;;evaluation;platforms
E_0017;2-Método;2;;evaluation;we evaluate
E_0018;2-Método;2;;evaluation;study
E_0019;2-Método;2;quantitative;evaluation;
E_0020;2-Método;2;;evaluation;strategy
E_0021;2-Método;2;;evaluation;presented
E_0022;2-Método;2;;evaluation;we
E_0023;2-Método;2;;evaluation;steps
E_0024;2-Método;2;;evaluation;cohort
E_0025;2-Método;2;;evaluation;questions
E_0026;2-Método;2;;evaluation;framework
E_0027;2-Método;2;;evaluation;metrics
E_0028;2-Método;2;;evaluation;metrics.
E_0029;2-Método;2;;evaluation;measures.
E_0030;2-Método;2;;evaluation;measures
E_0031;2-Método;2;;evaluation;methods.
E_0032;2-Método;2;tool;evaluation;
E_0033;2-Método;2;;evaluation;between
E_0034;2-Método;2;;evaluation;to validate
E_0035;2-Método;2;;evaluation;metric
E_0036;2-Método;2;;evaluation;code
E_0037;2-Método;2;credibility;evaluation;
E_0038;2-Método;2;;evaluation;information
E_0039;2-Método;2;;evaluation;process
E_0040;2-Método;2;;evaluation;results
E_0041;2-Método;2;;evaluation;experiments.
E_0042;2-Método;2;;evaluation;experiments
E_0043;2-Método;2;;evaluation;consists
E_0044;2-Método;2;performance;evaluation;
E_0045;2-Método;2;;evaluation;questions:
E_0046;2-Método;2;;evaluation;showed
E_0047;2-Método;2;our;evaluation;show
E_0048;2-Método;2;qualitative;evaluation;
E_0049;2-Método;2;the;evaluation;criteria.
E_0050;2-Método;2;;evaluation;criteria:
E_0051;2-Método;2;;evaluation;targets
E_0052;2-Método;2;;evaluation;frameworks
E_0053;2-Método;2;of;evaluation;apprehension.
E_0054;2-Método;2;;evaluation;apprehension
E_0055;2-Método;2;;evaluation;pipeline
E_0056;2-Método;2;;evaluation;techniques
E_0057;2-Método;2;;evaluation;our
E_0058;2-Método;2;;evaluation;measurements
E_0059;2-Método;2;;evaluation;curves
E_0060;2-Método;2;;evaluation;next
E_0061;2-Método;2;set;evaluation;gave
E_0062;2-Método;2;;evaluation;procedures
E_0063;2-Método;2;;evaluation;techniques.
E_0064;2-Método;2;role;evaluation;
E_0065;2-Método;2;;evaluation;based
E_0066;2-Método;2;;evaluation;processes
E_0067;2-Método;2;;evaluation;tool.
E_0068;2-Método;2;positive;evaluation;
E_0069;2-Método;2;favorable;evaluation;
E_0070;2-Método;2;sophisticated;evaluation;
E_0071;2-Método;2;;evaluation;methods:
E_0072;2-Método;2;;evaluation;criteria
E_0073;2-Método;2;dataset;evaluation;
E_0074;2-Método;2;their;evaluation;
E_0075;2-Método;2;;evaluation;data
E_0076;2-Método;2;;evaluation;questionnaire
E_0077;2-Método;2;;evaluation;questionnaires
E_0078;2-Método;2;;evaluation;indicates
E_0079;2-Método;2;;evaluation;demonstrated
E_0080;2-Método;2;;evaluation;provides
E_0081;2-Método;2;;evaluation;approaches
E_0082;2-Método;2;;evaluation;workflow.
E_0083;2-Método;2;;evaluation;workflow
E_0084;2-Método;2;;evaluation;protocol
E_0085;2-Método;2;;evaluation;protocols
E_0086;2-Método;2;usability;evaluation;
E_0087;2-Método;2;comparative;evaluation;
E_0088;2-Método;2;accessibility;evaluation;
E_0089;2-Método;2;;evaluation;study.
E_0090;2-Método;2;in-depth;evaluation;
E_0091;2-Método;2;;evaluation;survey
E_0092;2-Método;2;;evaluation;survey:
E_0093;2-Método;2;exploratory;evaluation;
E_0094;2-Método;2;;evaluation;protocol.
E_0095;2-Método;2;heuristic;evaluation;
E_0096;2-Método;2;empirical;evaluation;
E_0097;2-Método;2;;evaluation;demonstrates
E_0098;2-Método;2;;evaluation;latency
E_0099;2-Método;2;experimental;evaluation;
E_0100;2-Método;2;informal;evaluation;
E_0101;2-Método;2;;evaluation;which
E_0102;2-Método;2;model;evaluation;
E_0103;2-Método;2;novel;evaluation;
E_0104;2-Método;2;speedup;evaluation;
E_0105;2-Método;2;scalability;evaluation;
E_0106;2-Método;2;algorithmic;evaluation;
E_0107;2-Método;2;;evaluation;methric
E_0108;2-Método;2;;evaluation;methrics
E_0109;2-Método;2;;evaluation;methics
E_0110;2-Método;2;accuracy;evaluation;
E_0111;2-Método;2;realist;evaluation;investigating
E_0112;2-Método;2;;evaluation;revealed
